year,geo_name,geo,income
2016,"Glenn County","05000US06021",41699.0
2016,"Humboldt County, CA","05000US06023",42685.0
2016,"Imperial County, CA","05000US06025",42560.0
2016,"Inyo County","05000US06027",47278.0
2016,"Kern County, CA","05000US06029",49788.0
2016,"Kings County, CA","05000US06031",47241.0
2016,"Lake County","05000US06033",36132.0
2016,"Lassen County","05000US06035",51457.0
2016,"Los Angeles County, CA","05000US06037",57952.0
2016,"Madera County, CA","05000US06039",45742.0
2016,"Marin County, CA","05000US06041",100310.0
2016,"Mariposa County","05000US06043",49265.0
2016,"Mendocino County","05000US06045",43510.0
2016,"Merced County, CA","05000US06047",44397.0
2016,"Modoc County","05000US06049",41194.0
2016,"Mono County","05000US06051",58937.0
2016,"Monterey County, CA","05000US06053",60889.0
2016,"Napa County, CA","05000US06055",74609.0
2016,"Nevada County, CA","05000US06057",57429.0
2016,"Orange County, CA","05000US06059",78145.0
2016,"Placer County, CA","05000US06061",76926.0
2016,"Plumas County","05000US06063",50125.0
2016,"Riverside County, CA","05000US06065",57972.0
2016,"Sacramento County, CA","05000US06067",57509.0
2016,"San Benito County","05000US06069",73814.0
2016,"San Bernardino County, CA","05000US06071",54469.0
2016,"San Diego County, CA","05000US06073",66529.0
2016,"San Francisco County, CA","05000US06075",87701.0
2016,"San Joaquin County, CA","05000US06077",55045.0
2016,"San Luis Obispo County, CA","05000US06079",64014.0
2016,"San Mateo County, CA","05000US06081",98546.0
2016,"Santa Barbara County, CA","05000US06083",65161.0
2016,"Santa Clara County, CA","05000US06085",101173.0
2016,"Santa Cruz County, CA","05000US06087",70088.0
2016,"Shasta County, CA","05000US06089",45582.0
2016,"Sierra County","05000US06091",43984.0
2016,"Siskiyou County","05000US06093",38524.0
2016,"Solano County, CA","05000US06095",69227.0
2016,"Sonoma County, CA","05000US06097",66833.0
2016,"Stanislaus County, CA","05000US06099",51591.0
2016,"Sutter County","05000US06101",52943.0
2016,"Tehama County","05000US06103",40687.0
2016,"Trinity County","05000US06105",35270.0
2016,"Tulare County, CA","05000US06107",42789.0
2016,"Tuolumne County","05000US06109",50731.0
2016,"Ventura County, CA","05000US06111",78593.0
2016,"Yolo County, CA","05000US06113",57663.0
2016,"Yuba County","05000US06115",48739.0
